Number of points: 1001
                Sun:                                            Mercury:                                        Venus:                                          Earth:                                          Mars:                                           Jupiter:                                        Saturn:                                         Uranus:                                         Neptun:                                         Pluto:                                          
Time            Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    
3.100000e-01    7.888378e-05    1.109860e-05    0.000000e+00    -1.526647e+00   -2.617067e-01   0.000000e+00    -9.549850e-01   4.389950e-01    0.000000e+00    -3.330282e-01   1.087680e+00    0.000000e+00    7.948631e-01    1.333219e+00    0.000000e+00    5.132283e+00    8.406095e-01    0.000000e+00    9.519746e+00    6.403339e-01    0.000000e+00    1.918500e+01    4.449407e-01    0.000000e+00    3.005796e+01    3.548440e-01    0.000000e+00    3.952882e+01    3.104650e-01    0.000000e+00    
3.200000e-01    8.385637e-05    1.200719e-05    0.000000e+00    -1.554217e+00   -3.082426e-01   0.000000e+00    -9.956236e-01   3.884029e-01    0.000000e+00    -3.937297e-01   1.076038e+00    0.000000e+00    7.511272e-01    1.360232e+00    0.000000e+00    5.127779e+00    8.674820e-01    0.000000e+00    9.518397e+00    6.609599e-01    0.000000e+00    1.918467e+01    4.592911e-01    0.000000e+00    3.005783e+01    3.662901e-01    0.000000e+00    3.952874e+01    3.204798e-01    0.000000e+00    
3.300000e-01    8.896778e-05    1.295183e-05    0.000000e+00    -1.580166e+00   -3.545005e-01   0.000000e+00    -1.033016e+00   3.363186e-01    0.000000e+00    -4.535377e-01   1.061479e+00    0.000000e+00    7.065523e-01    1.385837e+00    0.000000e+00    5.123131e+00    8.943308e-01    0.000000e+00    9.517004e+00    6.815830e-01    0.000000e+00    1.918432e+01    4.736412e-01    0.000000e+00    3.005769e+01    3.777361e-01    0.000000e+00    3.952866e+01    3.304946e-01    0.000000e+00    
3.400000e-01    9.421753e-05    1.393241e-05    0.000000e+00    -1.604572e+00   -4.004525e-01   0.000000e+00    -1.067187e+00   2.829784e-01    0.000000e+00    -5.123121e-01   1.044097e+00    0.000000e+00    6.611873e-01    1.410011e+00    0.000000e+00    5.118338e+00    9.211553e-01    0.000000e+00    9.515567e+00    7.022030e-01    0.000000e+00    1.918397e+01    4.879911e-01    0.000000e+00    3.005754e+01    3.891820e-01    0.000000e+00    3.952858e+01    3.405094e-01    0.000000e+00    
3.500000e-01    9.960519e-05    1.494884e-05    0.000000e+00    -1.627510e+00   -4.460750e-01   0.000000e+00    -1.098179e+00   2.286029e-01    0.000000e+00    -5.699221e-01   1.023990e+00    0.000000e+00    6.150814e-01    1.432731e+00    0.000000e+00    5.113402e+00    9.479547e-01    0.000000e+00    9.514087e+00    7.228200e-01    0.000000e+00    1.918360e+01    5.023407e-01    0.000000e+00    3.005739e+01    4.006279e-01    0.000000e+00    3.952849e+01    3.505241e-01    0.000000e+00    
3.600000e-01    1.051304e-04    1.600105e-05    0.000000e+00    -1.649047e+00   -4.913479e-01   0.000000e+00    -1.126041e+00   1.733975e-01    0.000000e+00    -6.262462e-01   1.001263e+00    0.000000e+00    5.682847e-01    1.453977e+00    0.000000e+00    5.108323e+00    9.747282e-01    0.000000e+00    9.512563e+00    7.434338e-01    0.000000e+00    1.918323e+01    5.166900e-01    0.000000e+00    3.005724e+01    4.120737e-01    0.000000e+00    3.952840e+01    3.605388e-01    0.000000e+00    
3.700000e-01    1.107928e-04    1.708898e-05    0.000000e+00    -1.669247e+00   -5.362545e-01   0.000000e+00    -1.150831e+00   1.175530e-01    0.000000e+00    -6.811720e-01   9.760248e-01    0.000000e+00    5.208476e-01    1.473731e+00    0.000000e+00    5.103100e+00    1.001475e+00    0.000000e+00    9.510997e+00    7.640444e-01    0.000000e+00    1.918284e+01    5.310391e-01    0.000000e+00    3.005708e+01    4.235195e-01    0.000000e+00    3.952831e+01    3.705535e-01    0.000000e+00    
3.800000e-01    1.165922e-04    1.821263e-05    0.000000e+00    -1.688169e+00   -5.807803e-01   0.000000e+00    -1.172615e+00   6.124581e-02    0.000000e+00    -7.345967e-01   9.483868e-01    0.000000e+00    4.728209e-01    1.491975e+00    0.000000e+00    5.097733e+00    1.028195e+00    0.000000e+00    9.509386e+00    7.846515e-01    0.000000e+00    1.918244e+01    5.453879e-01    0.000000e+00    3.005692e+01    4.349652e-01    0.000000e+00    3.952822e+01    3.805682e-01    0.000000e+00    
3.900000e-01    1.225282e-04    1.937197e-05    0.000000e+00    -1.705869e+00   -6.249134e-01   0.000000e+00    -1.191466e+00   4.638969e-03    0.000000e+00    -7.864262e-01   9.184639e-01    0.000000e+00    4.242561e-01    1.508696e+00    0.000000e+00    5.092224e+00    1.054886e+00    0.000000e+00    9.507733e+00    8.052552e-01    0.000000e+00    1.918204e+01    5.597363e-01    0.000000e+00    3.005676e+01    4.464109e-01    0.000000e+00    3.952812e+01    3.905828e-01    0.000000e+00    
4.000000e-01    1.286006e-04    2.056705e-05    0.000000e+00    -1.722397e+00   -6.686435e-01   0.000000e+00    -1.207457e+00   -5.211710e-02   0.000000e+00    -8.365757e-01   8.863725e-01    0.000000e+00    3.752047e-01    1.523881e+00    0.000000e+00    5.086571e+00    1.081549e+00    0.000000e+00    9.506035e+00    8.258554e-01    0.000000e+00    1.918162e+01    5.740845e-01    0.000000e+00    3.005658e+01    4.578565e-01    0.000000e+00    3.952802e+01    4.005974e-01    0.000000e+00    
4.100000e-01    1.348094e-04    2.179791e-05    0.000000e+00    -1.737802e+00   -7.119622e-01   0.000000e+00    -1.220668e+00   -1.088839e-01   0.000000e+00    -8.849689e-01   8.522303e-01    0.000000e+00    3.257183e-01    1.537518e+00    0.000000e+00    5.080776e+00    1.108182e+00    0.000000e+00    9.504295e+00    8.464519e-01    0.000000e+00    1.918119e+01    5.884323e-01    0.000000e+00    3.005641e+01    4.693020e-01    0.000000e+00    3.952792e+01    4.106120e-01    0.000000e+00    
4.200000e-01    1.411542e-04    2.306461e-05    0.000000e+00    -1.752130e+00   -7.548625e-01   0.000000e+00    -1.231179e+00   -1.655342e-01   0.000000e+00    -9.315379e-01   8.161559e-01    0.000000e+00    2.758491e-01    1.549599e+00    0.000000e+00    5.074838e+00    1.134784e+00    0.000000e+00    9.502511e+00    8.670446e-01    0.000000e+00    1.918075e+01    6.027799e-01    0.000000e+00    3.005623e+01    4.807475e-01    0.000000e+00    3.952782e+01    4.206266e-01    0.000000e+00    
4.300000e-01    1.476350e-04    2.436726e-05    0.000000e+00    -1.765421e+00   -7.973384e-01   0.000000e+00    -1.239072e+00   -2.219509e-01   0.000000e+00    -9.762230e-01   7.782678e-01    0.000000e+00    2.256489e-01    1.560115e+00    0.000000e+00    5.068757e+00    1.161356e+00    0.000000e+00    9.500684e+00    8.876335e-01    0.000000e+00    1.918029e+01    6.171271e-01    0.000000e+00    3.005605e+01    4.921928e-01    0.000000e+00    3.952771e+01    4.306411e-01    0.000000e+00    
