       x:          approx:          exact:          
     0.44255744     0.54549531     -5.0800516
     0.44355644     0.54461532     -5.0800516
     0.44455544     0.54373414     -5.0800516
     0.44555445     0.54285179     -5.0800516
     0.44655345     0.54196828     -5.0800516
     0.44755245     0.54108362     -5.0800516
     0.44855145     0.54019783     -5.0800516
     0.44955045     0.53931091     -5.0800516
     0.45054945     0.53842288     -5.0800516
     0.45154845     0.53753374     -5.0800516
     0.45254745     0.53664352     -5.0800516
     0.45354645     0.53575221     -5.0800516
     0.45454545     0.53485984     -5.0800516
     0.45554446     0.53396640     -5.0800516
     0.45654346     0.53307191     -5.0800516
     0.45754246     0.53217639     -5.0800516
     0.45854146     0.53127984     -5.0800516
     0.45954046     0.53038227     -5.0800516
     0.46053946     0.52948369     -5.0800516
     0.46153846     0.52858412     -5.0800516
     0.46253746     0.52768355     -5.0800516
     0.46353646     0.52678201     -5.0800516
     0.46453546     0.52587950     -5.0800516
     0.46553447     0.52497603     -5.0800516
     0.46653347     0.52407162     -5.0800516
     0.46753247     0.52316626     -5.0800516
     0.46853147     0.52225997     -5.0800516
     0.46953047     0.52135276     -5.0800516
     0.47052947     0.52044464     -5.0800516
     0.47152847     0.51953562     -5.0800516
     0.47252747     0.51862570     -5.0800516
     0.47352647     0.51771490     -5.0800516
     0.47452547     0.51680322     -5.0800516
     0.47552448     0.51589068     -5.0800516
     0.47652348     0.51497727     -5.0800516
     0.47752248     0.51406301     -5.0800516
     0.47852148     0.51314792     -5.0800516
     0.47952048     0.51223199     -5.0800516
     0.48051948     0.51131523     -5.0800516
     0.48151848     0.51039766     -5.0800516
     0.48251748     0.50947927     -5.0800516
     0.48351648     0.50856009     -5.0800516
     0.48451548     0.50764011     -5.0800516
     0.48551449     0.50671935     -5.0800516
     0.48651349     0.50579781     -5.0800516
     0.48751249     0.50487550     -5.0800516
     0.48851149     0.50395243     -5.0800516
     0.48951049     0.50302861     -5.0800516
     0.49050949     0.50210404     -5.0800516
     0.49150849     0.50117873     -5.0800516
     0.49250749     0.50025269     -5.0800516
     0.49350649     0.49932592     -5.0800516
     0.49450549     0.49839843     -5.0800516
     0.49550450     0.49747024     -5.0800516
     0.49650350     0.49654134     -5.0800516
     0.49750250     0.49561174     -5.0800516
     0.49850150     0.49468146     -5.0800516
     0.49950050     0.49375049     -5.0800516
     0.50049950     0.49281885     -5.0800516
     0.50149850     0.49188653     -5.0800516
     0.50249750     0.49095356     -5.0800516
     0.50349650     0.49001993     -5.0800516
     0.50449550     0.48908565     -5.0800516
     0.50549451     0.48815073     -5.0800516
     0.50649351     0.48721517     -5.0800516
     0.50749251     0.48627898     -5.0800516
     0.50849151     0.48534216     -5.0800516
     0.50949051     0.48440473     -5.0800516
     0.51048951     0.48346669     -5.0800516
     0.51148851     0.48252804     -5.0800516
     0.51248751     0.48158879     -5.0800516
     0.51348651     0.48064895     -5.0800516
     0.51448551     0.47970852     -5.0800516
     0.51548452     0.47876751     -5.0800516
     0.51648352     0.47782593     -5.0800516
     0.51748252     0.47688377     -5.0800516
     0.51848152     0.47594105     -5.0800516
     0.51948052     0.47499777     -5.0800516
     0.52047952     0.47405393     -5.0800516
     0.52147852     0.47310955     -5.0800516
     0.52247752     0.47216463     -5.0800516
     0.52347652     0.47121917     -5.0800516
     0.52447552     0.47027317     -5.0800516
     0.52547453     0.46932665     -5.0800516
     0.52647353     0.46837961     -5.0800516
     0.52747253     0.46743206     -5.0800516
     0.52847153     0.46648399     -5.0800516
     0.52947053     0.46553542     -5.0800516
     0.53046953     0.46458634     -5.0800516
     0.53146853     0.46363677     -5.0800516
     0.53246753     0.46268671     -5.0800516
     0.53346653     0.46173616     -5.0800516
     0.53446553     0.46078513     -5.0800515
     0.53546454     0.45983363     -5.0800515
     0.53646354     0.45888165     -5.0800515
     0.53746254     0.45792921     -5.0800515
     0.53846154     0.45697630     -5.0800515
     0.53946054     0.45602294     -5.0800515
